Time    Pdcmap    Quarter
      53.539521       0.910516       0.000000
      53.559955       0.910596       0.000000
      53.580390       0.910633       0.000000
      53.600824       0.910615       0.000000
      53.621258       0.910931       0.000000
      53.641692       0.910397       0.000000
      53.662127       0.910670       0.000000
      53.682561       0.910720       0.000000
      53.702995       0.910521       0.000000
      53.723429       0.910810       0.000000
      53.743864       0.910861       0.000000
      53.764298       0.910651       0.000000
      53.784732       0.910698       0.000000
      53.805166       0.910670       0.000000
      53.825601       0.910785       0.000000
      53.846035       0.910663       0.000000
      53.866469       0.910678       0.000000
      53.886904       0.910783       0.000000
      53.907338       0.910636       0.000000
      53.927772       0.910873       0.000000
      53.948206       0.910754       0.000000
      53.968641       0.910780       0.000000
      53.989075       0.910888       0.000000
      54.009509       0.910714       0.000000
      54.029943       0.910748       0.000000
      54.050378       0.910947       0.000000
      54.070812       0.910698       0.000000
      54.091246       0.910635       0.000000
      54.111680       0.910713       0.000000
      54.132115       0.910773       0.000000
      54.152549       0.910641       0.000000
      54.172983       0.910849       0.000000
      54.193417       0.910626       0.000000
      54.213851       0.910687       0.000000
      54.234286       0.911087       0.000000
      54.254720       0.910574       0.000000
      54.275154       0.910751       0.000000
      54.295589       0.910994       0.000000
      54.316023       0.910639       0.000000
      54.336457       0.910703       0.000000
      54.356891       0.910627       0.000000
      54.377326       0.910702       0.000000
      54.397760       0.910826       0.000000
      54.418194       0.910619       0.000000
      54.438628       0.910530       0.000000
      54.459063       0.910353       0.000000
      54.479497       0.910877       0.000000
      54.499931       0.910460       0.000000
      54.520365       0.910543       0.000000
      54.540800       0.910561       0.000000
      54.561234       0.910560       0.000000
      54.581668       0.910026       0.000000
      54.602102       0.910468       0.000000
      54.622537       0.910366       0.000000
      54.642971       0.910573       0.000000
      54.663405       0.910626       0.000000
      54.683839       0.910403       0.000000
      54.704274       0.910701       0.000000
      54.724708       0.910573       0.000000
      54.745142       0.910553       0.000000
      54.765576       0.910687       0.000000
      54.786011       0.910378       0.000000
      54.806445       0.910643       0.000000
      54.826879       0.910660       0.000000
      54.847313       0.910633       0.000000
      54.867748       0.910778       0.000000
      54.888182       0.910477       0.000000
      54.908616       0.910575       0.000000
      54.929050       0.910570       0.000000
      54.949485       0.910462       0.000000
      54.969919       0.910695       0.000000
      54.990353       0.910543       0.000000
      55.010787       0.910634       0.000000
      55.031222       0.910874       0.000000
      55.051656       0.910590       0.000000
      55.072090       0.910376       0.000000
      55.092524       0.910540       0.000000
      55.112959       0.910561       0.000000
      55.133393       0.910312       0.000000
      55.153827       0.910396       0.000000
      55.174261       0.910669       0.000000
      55.194696       0.910726       0.000000
      55.215130       0.910590       0.000000
      55.235564       0.910555       0.000000
      55.255998       0.910057       0.000000
      55.276433       0.910340       0.000000
      55.296867       0.910476       0.000000
      55.317301       0.910520       0.000000
      55.337735       0.910591       0.000000
      55.358170       0.910681       0.000000
      55.378604       0.910649       0.000000
      55.399038       0.910722       0.000000
      55.419472       0.910721       0.000000
      55.439907       0.910680       0.000000
      55.460341       0.910721       0.000000
      55.480775       0.910890       0.000000
      55.501209       0.910630       0.000000
      55.521644       0.910551       0.000000
      55.542078       0.910662       0.000000
      55.562512       0.910705       0.000000
      55.582946       0.910676       0.000000
      55.603381       0.910530       0.000000
      55.623815       0.910577       0.000000
      55.644249       0.910617       0.000000
      55.664683       0.910619       0.000000
      55.685118       0.910444       0.000000
      55.705552       0.910591       0.000000
      55.725986       0.910831       0.000000
      55.746420       0.910562       0.000000
      55.766855       0.910893       0.000000
      55.787289       0.910850       0.000000
      55.807723       0.910652       0.000000
      55.828157       0.910579       0.000000
      55.848592       0.911122       0.000000
