************************************************************************
      Obnm      UTdate     JD-2.44e6     mnvel   errvel   mdchi     cts
************************************************************************
 rj188.105   2014/06/18    16826.990539     5.55     2.21   1.132     9402
 rj188.106   2014/06/18   16827.022878     9.37     2.14   1.116     8871
 rj188.279   2014/06/19   16828.014247     5.87     2.18   1.118     8752
 rj188.280   2014/06/19   16828.045925    -1.88     2.32   1.116     8375
rj189.1287   2014/07/10   16848.932372    -9.97     2.39   1.130     8240
rj189.1682   2014/07/12   16850.837724   -10.76     2.46   1.147     7866
rj189.1882   2014/07/13   16851.782552    -1.82     2.21   1.124     8194
rj189.2194   2014/07/15   16853.874880    -5.72     2.22   1.154     8775
rj189.2372   2014/07/16   16854.893017    -7.96     2.39   1.111     7600
rj189.2500   2014/07/17   16855.930215    -0.38     2.14   1.130     8422
 rj190.385   2014/07/24   16862.811168     6.58     2.01   1.191    10349
 rj190.988   2014/07/27   16865.913905   -11.79     2.65   1.116     7138
 rj191.462   2014/08/05   16874.965329   -13.75     2.17   1.134     8685
 rj192.683   2014/08/13   16882.781496     0.79     2.35   1.118     8379
 rj192.871   2014/08/14   16883.832105    -1.55     2.53   1.119     6594
  rj193.87   2014/08/19   16888.986332    10.61     2.31   1.108     6264
 rj193.472   2014/08/21   16890.761877     3.42     2.14   1.120     7858
 rj193.671   2014/08/22   16891.773524    12.35     2.21   1.128     8634
 rj193.879   2014/08/23   16892.791189     6.41     1.93   1.132     9043
rj193.1074   2014/08/24   16893.832869     7.94     1.94   1.153     9081
rj193.1275   2014/08/25   16894.850116    -6.56     2.04   1.130     8619
rj193.1480   2014/08/26   16895.861506     0.09     1.81   1.160     9525
  rj194.87   2014/09/06    16906.833279     1.00     2.20   1.135     8013
